bebote,français
Kké,enrouler
nàa3-t£,ensemble
nàa,ensemble : réciprocité
nduûr,entasser
00,"entendre, écouter"
diw,"enterrer, semer"
p£ns,"entre, parmi"
gâl,entrejambe
ànd#,entrer
do1e,"envelopper, emballer"
ilè,ivoyer
ndès,ais : être
danm,aule
$i-ys1iys,ervier
k5Sn,"ine, épines"
t:gs,"épuiser. finir, achever"
£$-lä4pàpà,escargot
"Fèr : Ba=bè1è, Fès",esclave
dùl,esp. d'antilope
rEngs,"esquiver, s'esquiver"
mbs r,"essorer, tordre"
bèr,essuyer
tà,"et, aussi"
6é,"et, mais"
nàjà,"étaler, étendre (au soleil)"
ätisé,éternuement
£-meé,étoile
i,être
à,être debout
ndé,étudier; aprendre
s],excrément
bird-kdsà,expert cultivateur
s1,fagot
65,faim
da,faire
ndà,ire griller à sec
t0o,"ire mal, faire souffrir"
ndùj+,irine
Kkà,itigue
ngôroông,iucille
dèné,femme
néé,"femme, épouse"
"kèisi, rüwe",fendre
ta,"fendre, couper"
rüws,fendre; déchirer
Kkay,fendre; diviser; partager
gind#,fer
Ùt#,fermer
kùtà,fesses
pôr,feu
b#rs,filet
ngon,"fils, fille"
ndèe,filtrer
bàvyà,fille initiée
pÜût#,fleur; fleurir
ba,fleuve
151:Gor-1s1,"flotter, couler"
mÉne,foin (pour les animaux)
n)jà,fois
1lèe,fondre
tôg#,)rce
0,)rger
kÔdE,)rgeron
0lè,"rt:être (boisson, magie)"
gàji,urchu : être
tüû,"fourmi, petite noire : esp."
tiys,fourmi rouge : esp. de
bara,fourmilier
p11,foyer
s31l,frais : être
ngo-k6,"frère, soeur"
Kkül,froid
n0,front
ùsi,frotter
ànd#,fructifier
kànd#,fruit
àÿ,"fuir, s'enfuir"
sà,fumée
ngsn,garder [troupeau]
gè1,gauche
tèims,mir
yids,ncives
tag+,nette
kaäl,rafe
y£ms,mbo
gàl,"gourde, esp. de"
gà1,gourdin
na,goûter
tà-kül,grâce à
Ko,"grain, germes"
èmi,graisseux : être
bôÿ,grand : être
tôgi,grandir
kàw,grandparent
èngé,gratter
Kk5Ss#,grêle
dàm,grenier
ndàngi,gronder
bôÿ,gros : être
gèms,guêpe maçonne
àji,guérir; sauver
tém,"gui, plante parasite"
k+ngs,iche
kùy,imeçon
p4la,"ingar (pour l'ombre, etc.)"
mûnji,iricot
tàé,"ut, en haut"
mà,"herbe, paille; brousse"
ndûr,hérisson
