daba,français
dàm,grenier
ndàng :,gronder h
yët :,guêpe jaune : esp. de
bïrb¡ :,guêpe noire : esp. de
àj,guérir; sauver
küngä :,che
kùÿ,meçon
dàb :,"ngar (pour l'ombre, etc.)"
mònj :,ricot
dÅÇ,"ut, en haut"
tïrö,herbe mauvaise : esp. de
m“,"herbe, paille; brousse"
ndú÷ :,hérisson
kîÿ,hibou
tàg‡-nèë :,hier
hàb :,hippopotame
kîs :,houe
yùb,huile
÷ô-dì-sô :,huit
køy¦m :,hyène
nèë,ici
ßòd,idiot
ngú£ :,igname
ngàrw¼y :,iguane
ndáj :,imiter j
kù®,secte
táj :,sulter
t¡¬ :,testins
n¡,lousie entre femmes;
kí-ngò® :,"jarre, canari"
«-,je
rö-kè,"joie, félicité"
kìl,joue
nòng :,jouer
ndû,"jour, journée"
ndùngà :,"jumeaux, jumelles"
nø,là-bas (loin)
¡y¼,laisser
mbà :,lait
ù÷,lancer un projectile sur
ìlä,"lancer, jeter l"
ndÅ :,langue l
tà,"langue, langage"
"là,tát :",large : être
tígó :,laver
-á,"le, la, lui (obj. de verbe)"
töÑ,cher
bänj :,pre
ngàá-÷á :,quel
-dé,"s, leur"
höm :,lièvre
tìbò :,lion
ù÷à :,loin
ngäl :,long : être
yít :,louer; féliciter
îÿ,lourd : être
njílö :,luire; briller
nº,lune
÷û,"lutter, se battre; guerre"
yþm :,maigre : être
jï,main
njö m,maïs
kúj,maison
mÅy m,maladie
mòt :,ladie; infirmité
jìngà :,le
ùsà,nger
gîjî :,nioc
súk :,marché
tïgä :,"marcher, se promener"
kí£ :,margouillat
ngàw :,mari
kènèng :,marqueur de débarrassement
gë,marqueur du pluriel : nom
-ï,marqueur du pluriel : verbe
tí,marqueur locatif
-«,me (obj. de verbe)
÷á« :,médicament
wàs :,melon
kÇ,mère m
îs :,ttre en rang
só-tï :,"eux, être mieux"
tþy,l pénicillaire
wàä,"l, esp. de."
sák :,lle
mbàt :,"mince, svelte : être"
mº,moi (forme indépendant)
-»,"mon, ma (oblique)"
à£,monter
tûj,montrer
îj,"montrer, expliquer"
dÅ,mordre
kòy,mort
yò,mort; sorcerie
bìï,mortier
kÇç :,mouche
y¬n :,mouillé : être
òy,mourir
bàt :,mouton
às :,mûr : être
gòtó :,n'exister pas
tüwä :,tte : sorte de
öt‡,faut pas
jøn¬ :,uf (9)
kôn,z
näj :,er
ìl :,noir : être
tû,nom
kûr,nombre
kúm,nombril
yª-kùsà :,nourriture
