french_term,Beb,Bd,Db,Gor,Gu,KbN,Kbb,Lk,Mb,Mo,Nar,Ngb,Sr,NgT
creuser,ùr,ndSr : Do=ùd,,ùr,nd8r,dri,üùrù,,ùr,ùr,nder,ù,nder,nder
cri d'alarme des femmes,,,,,ûw-wiy,ûs,,,w 1 y,,,,,
crier,n5©,,n0o,n0,no,t{1,Kk1I,nS,kGo,"£-küÿ,",n0,no,,
crinière,,bôlè,,wèlè,wül,b11),,wolè,,,,,,
- Langues Sara,,,,,,,,,,wdl,Bd1d,wôl,wôl,
criquet dévastateur,,$-bèté,,,k£i-bèté,,,£-bèdé : Mh=k£-bèt#,,f-béte,gà-kère,,,
crocodile,mà,"màrà,màrèim",mar,mar,màrà,k{-Fàlè,màr,màr,,mà,,mèàr,màr,
croquer,ngè,,,ngèr,kdk£1 : Mhb=ngdr,,,,,ngè,ngoro,ngèr,ngùr,ngôr
cuire,ndir,ndaà,nj1ir,nd1ir,ndir,ndèri,njtri,n1r,ndir,ndir,ndir,nd1ir,ndir,nd1r
cuire [la sauce longue],kül,kül,kül,küûl,kül,,kül,kül,,kül,küûl,küûl,kül,
cuisine,,,,,,,,,gàr,kéy-pàkà,gàrà,,gàr,
cuisse,bèing#,bèng#,baäng,bingz,bing,bôli,birng,bingi,bing,bing,bür,bing,bür,bing#
"cuit, à point : être",èd#,Èdx,èd,èdx,id#,kéjt,èr,èFr,èdz,id#,id#,èr,idz,
cultiver,nd35,ndàr,nds,ndà5,ndàr,njàka,ndd5,ndà,nd35,nddr,ndr,ndà5,ndèr,ndèr
cynocéphale,màdi,màdi,màd,màdi,Pèt:-màdèr,màdà,bàngiràng,bàng+rà,,màadi,màdi,bàngilà,màadà,
chacal,tàl,tàl,,,tàl,tàl-bo6,,tàl,tàl,tàl,,tàl,tàl,
chameau,)ä4mbàl,)4mbàl,3ä4mal,j)ämbal,lùgimà,) 4màlà,)4mbaàl,)j4mbàl,jämbaàl,jämbäl,)4mbàl,)ämbäl,jé4mbàl,)4mbal
champ,"kÈlè, ndà5",,kèm-nd95,"mè-nd95,",kèm-ko,,"tà-nd35, nd5 : Kul=màgi",ndÿ,k5r,ndèr,,nd35,ndir,
champ en jachère,,,,,,,,dàlzm,gäw,bày-1,,,,
champignon,Pôyd : Ba=Boyd,,,bôoy,Bèoyè,mbow,Bè : Lx=Eè,,bèe,Pèyà,Pôyd,Bèyè,bèyè,
"anson, chant",pa,pa,pa,pa,pa : KoN=1a,,pa,pa,paa,pa,pa,pa,pa,pa
1arbon,kül,kül,kül,kül,kül,külù,kül,küluü,,kül,kül,külu,küûl,kül
1arognard,mal,mal : Do=mal,,mal,mal,,mal,mal,,mal,mal,mal,mal,mal
asse; dieu de la chasse,ndo,,,,,,,,k$1,ndd,,ndo,,
asser dehors,,,,,,,,,s$k#,sùkt,,,sôk#,
at,bàtü,bàtü,,bàtü,bàtü,ndäw,bàtü,bàtü,,bàtü,bàtü,bètü,milà,milà-kèm-beé
at sauvage,mÈilè,mÈilè,,milè,mülè,mùl à,mül à,mùlà,,mülè,milè-k£-wàé,mùl à,milà-bèm,mÈlà
1atouiller,,kif,,,gètz,kâtI,,ngérs,kÎte,,keté#,gid1,,
aud : être,t£ngs,"tèngs,",tinga,n£ngs,tüngs,,,,,,,,,
Français :,,,,,,,tünga,nünga,tfnga,tüngs,t£ngs : NgT-ténga,tüûnga,tènga,
chauffer la base d'un arb,3ù,9bE,,,db#,SB5,,Sb#,dù,3bE,Ôb#,Ôb#,dw,
chaussure,sa,sa,poro,sa,sa,saka,sa,sàbàgù,säa,säba,sa,màarkébà,sa,tara
chauve : être,ngs,,,ngà,ngà,,,,ng33,r,ng,ngs,ngà,
chauve-souris de maison,,,,,ngdkèr,,,do-kéw,,ngdkèr,k£-ngdkèri,dà-1ù,,
"chauve-souris, esp. de",dow,do,dow,dow,do,dôngi,dow,,,do,dow,do,dow,dow
chavirer,ndùy,ndùy,,déw,ndaùy,,j1,ndùy,,ndùy,,ndi,,
chef,ngat,ngat,,ngat,ngät,kéngè,mbäy : Kul=kéngÈ,mbéy,,ngar,ngar : NJT=ngar,mbàng,ngär,
chenille (sans poils),tàw,tàw,tàw,tàw,tàw,,tàw,tàw,tài,tô,tàa,tàw,-tàw,
chenille poilue,$f-13à1a,,,njûws,ni{ib£,,,bâlèdé,n)jüûwà,,nj£bs,1à4g$f-1àa,nj£fba,
chercher,säng#,sa,séa,sâng#,säng,séle,säng,sâng#,säng,säng,sa,sa,sa,sa
cheval,s£nds,sinds,sûündé,s£nds,sfnds,künda,sünda : Kul=sünda,künda,sindé,sinds,s£nds,kûnda,sindà,s£ndà
) cheveux,bisz-d3,bèisr-dù,bii-d5,bii-dù,bit-dè,ng95,biI-d5,bi-dà,bist-d5,bèl-aù,yingà-d,yingà,ningà,
cheville,,kûkèlü-njà,,,,àlè-saka,,dd-kàw-künjé,kùr-k66-njà,,,,,
"chèvre, cabri",b1 ys,biys,b1 yä,b1ys,b1 ys,,b1 ya :Kul=vina,bI ya,b1 ya,b1 ys,b1 ys,b1 ya,brya,b1 ya
chicotte,àbilày,àbilày,,,ndéy : Mhb=àbilày,,,,,ndé y,,ndé y,,
chicotte,ndéy,ndéy,ndéy,,,,,ndéy,ndé,,,ndé y,ndéÿ,
chien,bûsx,b£s#t,bis,büsE,bist,bisi,bist,bist,bis£,bis#t,bist,bist,bisi,bisé
chiffon sur la tête,,,,,ngès : Mh=ngdo,,,,,ngès,,,ngd0,
choisir,mbétz,mbétz,,mbât+,mbér,hée,mbérz,mbérx : Mh=mbédx,,mbét#,,mbér,g+ra,
chose,né,né,yé,yé,yé : Kul=n4mu,,,né,yéa,né,y4,né,yéà,yé
chose dégoutant,,,,,,,,yèm,vyèr,yè,,yèr,,
d'abord,taà,taà,kém-ta,taé,taà,,Bé : Mh=t34,,,ba4,p4-tä,B4,"tàä,pà-ta",-tä44
dans,mè,mèe,kèm,mè,kèm,kàm,mè : Kul=hàm,mè,kàn,mèe,kàm,mè,kèm,kèm
danser,1è,1è,10,1è,1è,n)fk1,IlÈ,nè,10,1è,ya,1è,ya,ya
chirer,t1if,tri,,t1i,t{l,taha,tTf : Kul=ndili,ét fi,tii,tii,tii,tri,Flya,"tii,njàr"
dans,tit£,"trté,tité",,-mè-t#,tütü,,kèt£,kèné,tité,tité,tuté,dàn-g£f,tüt#,t5-t#
hors,tägà,ndägâ,,tâgà,nàtà,gàs1,rakà,dégäà,,ndét#,ndà,dégé,ndégé,nètèé
jà,ngàa,bé,,"wdy, ngàa",b4,,,,,ngàä,k5$,mbé,"b4,",
main,10-t1,10-t1I,1lôt1,1lôt1i,bàrè,y5-bit,bàré,bàärà,l1d0-t1i,"bôrè,bèrè",binf,bèrè,biri,-10trht
mander l'argent emprunté,$aängz,,,bangz,baäng,,,baängz,bäng,,,,,
"demander, poser (question)",dèji,dèjà,njijo:Gor-=dèjà,,dèji,jirè,ndù)ù : Kul=)jidyo,dè)i,ndi)jè,dè;,dèjè,dèji:Sr-dijè,,ndijè
démanger,nd0s,ndo00,ndo,ndo5,,njùnu,ndo5S,nd0c,nd00,ndo5,nd00,ndoo,ndoo,
démener; arracher,näg£,nag#,,,,,,när,,nàr,,nar,,
dents,ngang#,ngangz,,ngangx,gègi,ngangä,ngaäang,ngang#,ngang,ngang,ngang,ngang,ngang,ngang
dépasser,t3y,Èts,tôy,t9ÿ,dûm,sàW,ùta,dûm,,tdy,"tôy, dûn",t3y,tày,tÿ
"déplacer, se",3t}E,,,dtà,nd$été,yäy,ngésE,"ddË,ngésx",ndétz,té,Ôti,ddi,nd$t#,
déplumer,t5r,t5r,tér,tér,tér,,t5r,,rètà,tér,r6y,t5r,,rét#
déranger,)5g#,n)#b5,,tépé,ndd,,)5kü,j5gx,,)5g#,nj£bs,tébz,nj£ba,nj£ba
derrière,gidà,gidà,gid,gidi,gidi,g5,gir,gir,gidi,gidà,gidi,gir:Sr-=gidà,,
descendre,dùsi,"rèisà, rûsà",dis,ùr,disi,rèji,disi,,disi,disi,disi:NgT-disi,disi,risà,
descendre; entrer,ùr,ùr : Do=ùd,,"ùr, ùr",,,ùrû,ùr,ùdi,ùr,ùdà,"ùr, ùr","ùd},",
"dessins, couleurs",,,,,bél,,£-nda;ji,B41 : Mh=641,,641,Bbél,,,
"détacher, délier",tüt#,tüût#,,tütü,tüûtü,téti,tütu,tüdu,,tüt#,tüt#,-tüdu,tüûtr,
détruire; abîmer,tüjz,nùjà,,tüûjr:Gu-tüjü,,tüjù,tüju,tüj1,"nûjé,tüjé","büjüurü,tüju",nùjà,tüj1,nùj?,
dette,bängz,kzirs,,bangz,kürs,Kküra,Pang,bängz,,kürs,k£rs,Baäng,kzra,k+da
deux,06,)06,jéd,)06,j)06,j06,j06 : Kul=jeé,j06,)06,j06,j06,)06,j06,j1y6
devant,n9,n9,nû,n0,n0,,n0,n0,n9,nd,n9,n0,n0,
devant,tà,tà,,tà,tà,,tà,tà,tà,tà,tè,tà,tà,
devinette,tèr-tà,sû-kàdr-nà3-6e,,sû-kàdi-nà-be,sû-ta-Pe:Lk-qüstü-tàr,,,,sùngéo,sü-kàdr-nàa-be,sû-k£-titz-bzrs,sû-Bbe,sûüngé,
diarrhée : avoir,ndèng#,ndèng#,ndèñg,ndèngx,ndèng,nj5me,,njèng# : M=ndèng,,ndèñng,ndèrg,ndèng,ndèng,
Dieu; Luwa (frère de Sou),Lüûüws,Lüws,Lüba,,NübS,nûba,Lüba,Lüba,Lüwa,Lübs,,Lüba,N£ba,
diffèrent; ailleurs,k£-däng,,,k£-dängi,dàng,kàkà là,däng,"dàngt, béd£",,ràng,dàng,Béd£,k£-ràng,k£-dàng
re; marqueur de convers,è,è,,èn,,,tokü,,àn,,nè,nà,nà,nà
re; parler,è1,è1,è],èl,èd,njùbà,pà : Kul=ndaäle,pà,è1,idè,Èdè,pè,idà,yèl
"-sputer, palabrer",Kk51,k51,k51,Kk51,k51,k51e,k51,k51,,K51,k51,Kk5S1,k51,Kk51
"-sputer, quereller",,nàjx,nà),nàj+,nàj#,,nàj1,,nàj#,nàj#,nàj+,naj1,nàj#,nàj#
-stribuer,15w,15b#,,10we,nobo,nübs,,15bS,]1üwo,1Sb#,,,keng,
_X,ddgi,"dôgà, küt",d35,dàg,dèg,d3gà,dDkÈ,ddgà,kÈlé,ddgi,kùtà,dàgi,kütà,kùtà
)igt,ngon-j1,ngon-j1,,ngon-j)1,ngon-j1,,ngon-)1,ngon-j1,k£-ngon-)1,ngon-j1,ngon-j1,ngon-j1,ngon-)j1,k£-ngon-j1
donner,àd#,àd#,àd,àdx,àdx,ina,àr : Kul=ito,àr,àd#,àd#,àd#,àr,àd#,àd#
dormir; sommeil,Bx : Ba=BT : Do=ndèle,,,Bt,bt,BT,BT,Bt,6ti,Bx,B1,Bt,Bbt,bx
dos,gidi,gàdà,gid,gidi,gidi,ngidi,gir,bà-gir,gidi,gidi,gidà,gir,gidà,gidà
doucement,kékèkè,jèkè,,mà ja,jèkè,hà,rékéké,dégégé,)jén,jän-jän,1dmmm,dègègè,jikè,jikè
douleurs prenatales,£-ndo,£-ndo,ndo,£-ndo,ndo,,ndo,ndo,,ndo,ndo,ndo,ndo,ndo
douter,man;jzx,ma;jz,,manj+,na)j+,,,,mä +,tädx,,mäy,b4ix,
droit,,dé£i,,njéréng,,,,nd$é)1 : M=dfng#,,,süûmuü,sûr,,
"droit, tout",,,,,ndiss,,ngiss,,säm,,,ngisa,,
droite,k31,kà,k3l,kl,kù,,kd1,Kk31,,k31,,kÔl,ko,kd
"dur, difficile : être",ngàa,ngàa,,ngàa,"mong, Ô",ngàngàrà,ngèng,ngàng*,ngàng,ngàng,ngàng,ngàng,ngàng,ngàng
durer longtemps,),ii,tüuda,i,i,àha,,ir,ii,),ii,,ii,
"eau, de l'eau",mànñ,manñ : Do=man,,màn,man,mànt,mànñ : Kul=man1,man,màn,man,man,màn,man,màn
éclabousser; sautiller,,tàl,,,tàl,,,täl,t4l,tél,,,,
éclater; vacarme,ndüws,ndu,,sana,ndubu,,ndubu,ndubu,nduu,ndubs,ndûb#,ndubu,ndub+,
écorce,ng$y,ng6y,,ng$y,ng,,,ngSy,ng$y,,ngS,ngy,,ng$
écorce sec,màma,mama,ké-màm,màama,mama,,ng6y,£-màèma,,màma,mbàämba,màama,kàdi,
écraser,tét#,rûnd#,düûd,büdx,tét#,,guüru,tCédx,dûüd#,,tüût#,r5dx,dûd#,dûdE
écraser (le foudre),tèl,,,tèl,tèl,,,tèl,tèl,tèl,tèl,tèl,tèl,
écrire,,,i à,ndàngi,,Bé là,tüja,ùnjà : Mh=ndàng,,ndàng,ènds,ndàng,ndàng,
écureuil : esp. de,ndàm,ndèm,ndäm,ndàm,ndàèm,n jmè,ndèm,ndàm,,ndàäm,ndàm,ndàm,ndàm,
écureuil de Gambie,P5n,55n,,B5n,b5n,65ne,B5n,B5n,B5n,B5n,b5n,65n,65n,m5y
échanger [qc],mbél1,mbél,,mbé1l,mbél,mbél1,mbé1l,mbé1,,mbél,mbél,mbél,mbél,
"echapper, se",,,,igi,,,,igi,igi,,,,,
éléphant,kèd#,kèdx,kèd,kèdx,kèd#,Kkà 1,kèr,kèrs,kèdE,kèdE,,,,
é],,,,,,,,,,,kèd#,KkèT,kèdx,kèd#
ever; nourrir,ùl,ùl,Bàt,ùl,ùl,ùlu,,ù1,,ùl,ùl,"ùl, ngsm","ùl, üùl",
pêcher; refuser,39z,ba,dg,dgx,Ôgz,dgi,3kü,Ô9,dg#,ÔgE,Ô9# : NJT=wWÔgE,,ÔgE,
\poisonner,yèl,yèl,,yè1l,yèl,,,yèl,dm,yè1,,yel,,
\prunter; prêter,ndime,ndims,,,ndims,,,nj1ma,ndtma,ndims,ndime,ndima,,ndima
\ arrière,gèg£,gûg#,,gûgé,gügüû,,gùkü,gùügü,gèg£,gdg#,gdgé,gôg£,gûg#,gog#
\ vain,pi,sété,,pi,pi,Kké,pi,pi,sété,pi,sét#:NgT-sété,tàsfrà,sété,
"icore, plus",$6éy:Ba=Béy,,,w4y,b4y,,Béy,B£,t35,béy,béy,"béy,",béy,t0
"droit, lieu; temps",10,10,10,10,10,100,10,1d,,1do,,,,
Français :,,,,,,,,,,10,10,10,10,
"enduire d'huile, oïindre",ndèm,ndèm,,,ndûm,,,ndèm,,ndèm,,ndèm,,
enfant,ngon,ngon,ngon,ngon,ngoï,mono,ngon,ngon,ngon,ngün,ngon,ngon,ngon,ngon
"enfanter, accoucher",dji,ùdji,0),dji,dii,dyd,ù;ù,ùji,djà,dj+i,-dj)i,dii,0jà,wo)?
enfiler,su,su,,,sur,sT,,nim,sür,su,,nim,sur,
"enfler, s'enfler, gonfler",ti,tf,tit,ti,ti,,ti,Èf : Mh=t{t,,tf,sir,ti,täg#,-tàg#
enfumer [qc],su,su,su,su,su,,tu,tu,,su,su,"su, tu",su,tu
engoulevent,légé,bét:-béré-à Î:Gor-légé,,,b$bs y,ni-kejé,£-15ké-bé1e,£-ninga-b$1e : Mh=léw,,ningè-bsr,,ningà-bé1s,bäd£-b$ÿ,
enlever avec les mains,,,,,,,,,tegé,t5g#,,,tegé,
"enlever, retirer",ÔF,Ôr,9r,dFr,9Fr,,dru,9F,dF,IF,ÔF,Ôr,ôr,wor
ennemi,njè-bàa,,ngè-bàa,njè-bàa,njè-bàz,ni-banga,njè-kèm-bàa,njè-bàa,màdz-bàa,njè-bàa,màdr-bàa,njè-bàa,"mèadr-k5l1,màadr-bàa",màdr-bàa
enrouler,Kké,ké,Bir,BbÈr,bfr,njdn,Kké,njèm,bir,Bir,Bir,ké,bir,Bir
enrouler,,kùû,,ké,bindz,6£11,,binat,,bindx,binaz,Birt,,
ensemble,nàa3-t£,nàa-t#,nèàa-ti,nàa-t#,nàa-t£,,nàa-t#,nàa-g£,nàa-t#,nà-t£,nàa,nà3-dé,nàa-t#,
ensemble : réciprocité,nàa,nàa,,nàa,nàa,,nàa,nàa,,nàa,,nàa,nàa,nàa
entasser,nduûr,nduf,,,ndüûr,,,ndür : M=ndül,,nduür,t£nds,ndüru,ndûr,
"entendre, écouter",00,00,00,00,00,Ôd0,00,,00,00,00,00,d0,"00, woo"
"enterrer, semer",diw,dibz,,,dübu,,dùbu,dübu,,dùbu,dûb#,dübuü,dûüb#,düb#
entourer,,gs : Do=qüg,,,gugu,,gqükü,gügü,güugt,,gugx,,,
"entre, parmi",p£ns,mbins,,mbüns,dàdan,,hor,horo,mbèna,mbùns,mbôb6,mbüna,mbèna,mbèna
entrejambe,,bStz,,,,,,horo-gôl,gèla,"bàäl, gâl",b£1s,gâl,gèlà,
entrejambe,gâl,,,bôtz,gäl,,mba,büla,bér,gél,b£1s,mè-mba,nû-mba,"ndo-bâr,ndm-bâr,bâr"
entrer,ànd#,ànd#,,ànd#,,ànja,ànd# : Kul=hayé,ànd#,,ànd#,,ànd#,ùdà,
"envelopper, emballer",do1e,dole,BÈr,d016 : Mh=dülo,,,,,,,d00,té,,ndèm
vie de,,ma Î,ma Î,,,malé,,ma Î : Mh=ma Î,,,,ma Î,,
ivoyer,ilè,Èilè,ùlà,ùlè,ùlè,ilà,ù 1 à,ùl à,là,ùlè,è1lè,ùl à,ilà,ilà
ais : être,ndès,ndès,,ndèr,ndèr,,ndèr,ndèr,ndèr,ndès,ndèr,ndèr,ndèr,
ais (liquide) : être,,,,,,,,tôgi,,B3w : N9T=Bôw,,,bôw,
">arpiller, écarter",,t1I,,säna,,s 41 à,,Ci,tri,,hind#,jane,t1,
aule,danm,bag+,dà-bäg,däm,baäg+,dag1,baäk# : Kul=bagu,d3-bag#,,bag#,bag+,bagx,b5g#,b5g#
ervier,$i-ys1iys,,,$£-ndogéro,kéylé,,,,,,,,,
KoN=yängàli,,,,,,,,£-mbàylé-pele,k£-sd1I,ningè,nèngè,,nèngà,
ilepsie,,,,,kéné,,,pipi,Kk{T,kéné,kôné,,kéno,
"ine, épines",k5Sn,k5Sn,k5n,k5n,k5n,kono,,,,,,,,
Français :,,,,,,,kün : Kul=hono,kün,kSn,kün,k5n,kün,k5n,k5Sn
"épuiser. finir, achever",t:gs,tigs,t1ga,trgé,tings,ninga,tünga,tünga,trga,tigs,tigs,rùnga,tèga,trga
escargot,£$-lä4pàpà,",làbà",,lépàpà,kä-1àbàbà,nàBà,k3;,£-1àbà,1àp}à,£-làäbàbà,,làbà,s0oro,
esclave,"Fèr : Ba=bè1è, Fès",,,Bèr,Pèr,,Bèr,Pèr,,Ps,bülè,Bèr,bûl.,$È1là
esp. d'antilope,dùl,dùl,daùl,,dùl,jùlù,aùl,dùl,,dùl,dù1,dül,dùl,-dùl
espace entre [qc],,,,,mbôre,,,,buro,,koro,,,
"esquiver, s'esquiver",rEngs,rzngs,,,,,,,rüngo,,,,,
"essorer, tordre",mbs r,mb+f,,,,,türu,sôrè,tuf,ndàng,,,,
essuyer,bèr,b3F : Dh=bor,,bôr,bôr,ùsù,bÔF,bI,,bF,ùsi,bôr,dl,
"et, aussi",tà,,0,ng,a,,,ném,ho,rém,0o,1é6m,0,ho
"et, mais",6é,ngà,mè,"$, 4y£",nè,àb1,ngà : Kul=vi,nè,nà,é,bè,nè,bà,bs
"étaler, étendre (au soleil)",nàjà,nà;jà,1àj,nàji,nàjà,,nàji,"nàji,nèji",nà;jà,nà;jà,nàjà,nàji,nàjà,nàjà
éternuement,ätisé,f-tisé,ki-disé,d£ss,é-tisé,,,i-disé,k£-disé,âtéss,,âytisé,ätèiso,
étinceler,,,,,nd$b£,,,,,ndSb#,,,nd$b#,
étoile,£-meé,$-mêé,,$-mey,k9yo,ki-ydoyéndu,£-ndètérèndé,£-ndèd£rèdé,,kérwéy,kûrmé,kérwé,"t{vS, kôvo",-k£-mêmée
être,i,è,i,i,è,,to,to,i,to,i,to,i,i
être debout,à,à,dà,dà,ndà,,àr,àr,dà,à,dà,àr,rà,dà
étudier; aprendre,ndé,ndé,nd6c,ndé,ndé,ndé6à,ndé,ndé,nd60,ndé,ndô,ndé,nd6o,nd6c
éviter,,,,,,,,,gong,,gong,,gong,
excrément,s],si,ki,si,yèdz,kèy,si,s],kii,si,yèdx,si,yèdx,-yèdz
expert cultivateur,bird-kdsà,birè-k3sà,bürà-kàs,birè-kdsà,bürè-kdsà,,birà-k3sE,béw-nd25,bèrà-kdsE,bürè-kdsà,birè-kdsà,bäâw-nd35,birà-k3s},
fabriquer en tournant,,,,,sôrè,,,,,sùro,,,sèirè,
fagot,s1,s1,Kkir,tà-s1,kir,key,tà-k1r :Kul=key,tà-kir,,s1,k1r,Kkir,k1r,kindè
faim,65,65,65,65,65,6G,65,65,650,B5,55,66,65,65
faire,da,ra,da,da,da,täm,d& : Kul=tém,da,,,,,,
LC,,,,,,,,,däaa,da,da,da,ra,daha
ire griller à sec,ndà,ndàw,,ndàw,ndàw,,,ndàw,ndà,nddw,ndàa,ndàw,ndàw,
ire le pique-assiette,,,,,,,,ma Î : Mh=géi,,,"béle,nélé",,,
"ire mal, faire souffrir",t0o,to,to,to,tür,,to,to,,to,tor:NgT-tor,Et0o,tor,
ire rites,,,,,,,,,h11e,pole,,,qug+,
irine,ndùj+,ndûj+,ndù),ndùj+,ndù)ju,ndùjü,ndùju,ndù)j1,ndù)j+,ndù)j#,ndûj+,ndù)j1:Sr-=-ndù)j#,,ndùj#
itigue,Kkà,kà,,kèr,kdr,kd,r5-kùta,kôr,kdr,kd,kdr,kèr,,kÔr
itigué : être,,3,dr,dr,dr,d,Ôr,,,d,r,dàw,,Ôr
iucille,ngôroông,ngordngi,,ngdrd,ngrông,,,£-mâr£m,ngdrong,ngdrông,ngordng,mérEm,ngdrông,
femme,dèné,dèné,dèé,dèné,diyé,màndé,dèné,jèné,dèe-k£-dèé,dèné,diys$ : NgT-diyé,dèné,diyé,
"femme, épouse",néé,n£é,n1 yé,néé,neé,,dèné,,néé,né,n1y$,dèné,nlyé,n1yé
fendre,"kèisi, rüwe",gaj#,,"ruws, käy",gaya,wûyà,,"gaji, riba",ga)jx,gaya,gaj+,gaj1,gaix,
"fendre, couper",ta,ta,,ta,"njàrè, gaya",,,riya,n)jàr,,njàr,njàrè,njàr,
fendre; déchirer,rüws,r+ys,,r1ys,r1bs,,r1ba,r1ba,r1ya,té,r1ys,"riya, riba",nj4r,
fendre; diviser; partager,Kkay,kay,kay,ta,kay,yay,,käy,kay,ta,kéy,kaäay,keng,
fer,gind#,gèndx,,gindz,gind#,,,ngàw-lar,gind#,gindx,gind#,,gindz,gind#
fermer,Ùt#,ût#,Ùùt,ûtr,ùtu,Ôt1,,,,,,,,
- Langues Sara,,,,,,,ùtu,ùdu : Mho=ût#,,ùt#,ût#:NgT-wût#,ùdu,ût#,
fesses,kùtà,g£n,gäy,kûti,mbùr,mè y,kùtù,küdù,gir,kètz,gir,küdi,mbùr,gir
feu,pôr,pôr,wod,pôr,pôr,hàrùû,pürù : Kul=fàrù,pèr,hôr,pèr,hôr,pèr,hôr,hôr
filet,b#rs,bänd#,bän,bänd#,bürs,bändà,bürà,bäénd#,,bürs,déng,büra,bändi,déng£
"fils, fille",ngon,ngon,,ngon,ngon,,ngon,ngon,ngon,ngon,ngon,ngon,ngon,ngon
filtrer,ndèe,ndèe,,ndèe,ndèé,,ndèe,ndèy,ndèe,ndèy,ndèe,ndèÿ,-ndèëé,
fille initiée,bàvyà,bàyà,bèà yà,bàyà,ndd-diyé,,màk#,màg#,bày,bà yà,bàyà,màg#,bèàyé,
flétrir:se,,ndôle : Do=ndûle,,,ndôle,,,ndole,ndù1o,ndèle,,ndè1e,ndile,
fleur; fleurir,pÜût#,pût,,püt#,püûtu,hürè,pütu,püdu,hüt#,pütu,hüt#,-püdu,hüût#,
fleuve,ba,ba,ba,ba,ba : KoN=ba,,ba : Kul=va,ba,baa,ba,ba,ba,ba,ba
"flotter, couler",151:Gor-1s1,,,,ùlè,lüulu,,ùlà,nÿu,10,Èilè,nûÿ,no,nühü
flûte,,nàl,,gà,,,làl,,nàl,,nàl,,,
foie,,ùr,,ûr,wÜûr,,,ùr : Mh=wûr,,ùr,ùr,ùr,,
foin (pour les animaux),mÉne,mône,mi ré,,mére,,,méro,m£éré,mône,,méro,méro,
fois,n)jà,n)jà,njà,njà,njà,,gèl,,n)jà,njà,njà,gôl,njà,
fondre,1lèe,1èé,,yoOno,lèsg,ndàtè,yIl,1è8,yèé,lèe,yèé,lèe,yèe,yÈhE
)rce,tôg#,tég#,,tégz,tégf,kànga,t$kt,"t6g#, kinga",tég£,tégz,t6g#,t6g#,tégà,-tégf
)rêt,,kù,Kkù,,kù,gà 1 à,Kkù,küdu,kûu,,kù,kù,,
)rger,0,0,,0w,ùwè,,,,do,ù,0,00,ùwà,woho
)rgeron,kÔdE,kÔd#,,"njè-kôw-yé, kÔdE",kddE : KEN=kDde-kdkù,,kdrü,njè-kôr,kÔd#,kddx,kÔdE,njè-kr,kôdx,kÔdE
"rt:être (boisson, magie)",0lè,ôlè,dng,èng+,"èng, àtx",,mit,mil,dng,èngi,ngàñg,0lè,ong,wong
uiller,,mbât#,,,,,,njingiling,nd1yo,,ndèlè,j4gzla,,
uiller,,,,,ndôlè,,,,,nddlè,,,ndilè,
urche d'arbre,,,,,gèàjà,bàra,,bàj à,bàj +,gà à,gàjà,"mb3-kägx, bà",,
urchu : être,gàji,gàjà,gàj,"bàj1,gàjà",gàj+,,bà,"gàji,",,,,,,
Français :,,,,,,,,,gàjà,gàjà,gàjà,b;,gàjà,-gà)jà
"fourmi, grande : esp.",,,,,bém,,,,,béme,,,bém,
"fourmi, petite noire : esp.",tüû,£-tüû,,,tür,,tür,£-tür,,tü,,tür,tüûr,
"fourmi, petite noire : esp.",,,,,tôtè,,,tôodè,k£-titè,,,,,
fourmi rouge : esp. de,tiys,t£ys,,tiys,tiys,,tiya,£-éiya,tiya,tiyse,t{iys,t{ya,t{yo,
"fourmi, rouge : esp.",,tôy,,,toy,,,toy,tôÿy,tôy,,toy,toy,
fourmilier,bara,bära,,bara,,,njàrè,njèrè,,bara,be-tètè,tàlbést,mbar,
fourreau,,,,,,hSKS,,B#1,häw,ngès,h5p5,s51,h5p,
fourreau,,,,,ngès,,,bém,ngèe,ngéy,,,,
foyer,p11,p#l,b5t-y1l,pil,p1il,s111,pil,p1l,h11,p1l,h1l,p1l,s11,s11
frais : être,s31l,sàl,s31,s31,s31,kéÿ,,,,,,,,
- Langues Sara,,,,,,,wûl,"sôl, Kkül",s31,sô1,sd1,kül,sèl,
frais; mouillé : être,,mbs 1 : Do=mbol,,,mbs 1,,,,,mbs 1,,,,
fréquemment,,,,,,,,tàf-tàf : M=sèe,,,ngändäng,,,
"frère, soeur",ngo-k6,ngo-ké,nènd,ngo-ké,ngo-ké,,ngo-ké,ngo-ké,,ngo-k6,ng5-ké,ngo-ké,ngo-ké,ngo-k6
froid,Kkül,kuüul : Do=kul,,kuüul,kül,ku11,,Kkül,kul,Kkuüul,kul : N9T=Kkul,Kkuüul,kul,
front,n0,nàti-nù,,n0,kär-nù,dàm-n95,nd,Bè-dà-nd,n9,n0,n9,n,nd,nù
frotter,ùsi,ùsà,,ùsà,ùsà,,ùsù,ùsàû,,ùsù,ùs,rit,ùsi,ùsi
fructifier,ànd#,ànd#,änd,ànd#,àn,àna,ànd#,ànd#,ànd#,ànd#,"àn, üùdi",ànd#,àn,
fruit,kànd#,kànd#,kànd,kàndx,kàn,kàna,kànd#,kànd#,kànd#,kànd#,kàn,känd#,kàn,kàn
fruit de karité,,,,,,,,,ydw,ySb#,,,ydW,ydb£
fruit pas mur,,,ngér,,b5#,,,mésS ré,,ngér,,,ngérû,
"fuir, s'enfuir",àÿ,ày,ày,ày,ày,àna,ày,ày,ày,ày,ày,ày,àa,ày
