french_term,Beb,Bd,Db,Gor,Gu,KbN,Kbb,Lk,Mb,Mo,Nar,Ngb,Sr,NgT
arbre de karité,s1ys,s+ys,,s1lys,Kkiys,KI no,£-d5ÿ,£-d5 ÿ,KI ya,s0yo,Kk1ys,d5 ÿ,k1ya,Kk1yo
"arbre, esp. [Vitex doniana]",,màlè,,,,,,màak5r,,,,mà-kSr,,
arbre : cailcédrat,d11,d#l,j11,dil,dil,B615,mb5ké : Kul=6515,mbàg#,,d1l,d11l,mbàg#,d1l,-d1l
arbre : esp. de,,koy-kagx,,,,,,,bèûto-tàw,kägr-kèm-k0,mondo,käm-ndà-bina,"k£-t5-küm,ndobé",
bre : kapokier,Kkürs -süu,küns,,kürs,kurs,,Kküra,kura,k£ra,küns,kÆrs,küra,krra,kzra
bre : palmier doum,$-gariya,$-gàrära : Gor-=gâr1ya,,,gariya,,,$i-gariya,gäây,"tàn,gär1iya",gây,gàÿra : Sr-gèr,,
buste : esp. de,,,,,tà : Mh=jinga,,,,,k£-né-je,jèngs,,,
buste : esp. de,,£-mongé,,,mongiyo,,,,k£-mong,$£-mongx,,käm-mong,mung,
buste : esp. de,,gûm,,,,,,gém,güm,,g6m,,,
buste épineux : esp. de,ngàa,ngàa,,ngàn,ngàr,,ngàr,ngàr,ngàr,ngàa,ngar,ngàr,ngàr,
buste; feuille,käm,käm,käm,käâm,käâm,kämbà,käm : Kul=hämvà,käm,käm,käm,käm,käm,kämbi,kämbé
-c et flèche,kénd#rs,kündèirü,,kSénd#rs,mbändäng,Bùlè,kéndoro,kéndoré,kèra,mandäng,g#rs,bäéndäng,-gèra,
arc-en-ciel,,ngà-b+rs-nd1,,,k£-münds -Ba,kSmbe,,ngàw-büra-nj1,k£-dos£-bzra,,ngè-b+r5-nd1,ngàw-büra-ndi,,
argent,,güsù : Do=pâtà,,nàr,nàr,mälè,nàrè,làr,,là,"güûsè,nàr",gûsù,gürsà,
argile noir,ân)+,wân)jx,,hänj+,änj+,kéngè,änj1,én)j1,hänjé,än;,bôr-6,énj1,länjà,
argile rouge,,nèibè,,,nibè,Kkf yà,,1ibà,nd+bà,,nd+bè,1ibà,,ndibà
arracher,,,,,büngs : Mh=Bingä,,,,,büngs,,,brnga,
"arrêter, s'arrêter",d3-bü,,dübà,,,,,,dibà,,d+bè,,dibà,d+bà
arriver,tèe,,,,dèe,kâà,tèe,,,tèé,,,Ôtz,
artiste,,gos# : Gor-gost,,,gosx,kÔde,gos#,-qusüu,gos#,gos#,,gos0o,gosxE,
"asseoir, se",si,Èist,inji,si,ndi,injt,isi,isi,ndi,,,,,
- Langues Sara,,,,,,,,,,isà,ndi,isi,ndi,ndà
|'assez: être; suffire,àsà,àsi,às,àsà,àsi:KbN-àsà,,àsE : Kul=àsà,àsi,às,àsà:Nar-àsà,,àsi,-àsà,àsi
asticot,kodè,,,,,kùjè,,kôrè,kidè,kôdè,kèdè,,,
attacher,t$,d35,d35,d35,d25,ija,d5,t5,d35,d35,dà0,té,-d00,ida
- | attendre,ng£ns,ng£ns,,ngéns,ngôm,àkÔ,ngéb#,ngéb5s,ng60,ngins,ngôro,ng$b#,ng60,ngého
attraper a la volée,,1à,,,là,käka,,1äm,gäw,,là,lâm,l4a,
aubergine,nj0,nj0,njôr,njor,njor,njoro,dündäéy,dündäy,njôr,njo,njor,njôr,nj0r,
augmenter en volume,si,s1,,,,àgo,,,àg#,,,,àg#,
aujourd'hui,bé-nè : Ba=b6-nè,,,Bé6-nè,$i-1àa,yàa-ré,55k£-nè : Kul=dyéarà,66g£-nè : Mh=66-1àa,,bé-nè,B6-1àa,65g£-nè,666-1àa,
autre,,,jäng : Kul=n5f,,,,,däng£ : Mh=däng,,,,,,
"autrefois, auparavant",mâri,mâri,,mâri,méri,,dôngdr-é,135w,méri,"1ow, nd>k£",mâri,,,
autruche,P5ù,bü,büiü,bü,bägi,gà,Bü,Bü,,bü,bürüm,bü,bürüm,bùrèm
avaler,tù,tüû,ùr,tuf,ùr,dli,ùrù,,,ù,ûr,ùrù,tür,wûr
"avant, entre-temps",kété,k$été,,kété,kété,gétè,kété,kédé,,kété,j6ÿ,kédé,kété,-kété
avec,Kkà,kà,i,kÈ,sè,ge-nè,KÈ,gà,,kà,kè,gà,kà,tÈ
avec (avec pronoms),sè-,sè- : Dbh=sè-,,sè,sè-,,sè-,sè-,sè-,sè-,sè,sè,sè-,sè-
avec [qc dont on a parlé],-né,,-ñ,-ù,-n,,-né,-né,,,,,,
{=,,,,,,,,,-à,-né,-nèé,-né,-n,-ñ
reugle,,mÈènd#,mindo,,,,njè-küm-t5 : Mh=mündo,,,,mündo,,mündo,
reugle,,,,njè-küm-to,njè-küm-t5,,njè-küm-t5,njè-kèm-t5,ngè-küm-t535,njè-kèm-t5,ngè-küm-t5,njè-kèm-t5,ngè-kùm-t5,
"roir de jeu, mal serrè",ySk#,ySk#,,y$kt,y$ké,ySKksS,,y$qge,ySk#,,y9k£,y$g#,,
roir des rapports sexuels,ndàl,ndàl,,,àndE,,ndàl,kèrs,sÔr,ndàl,àndz,ndàl,ànd#,
"iigner, se baigner",ndôg#,ndôg#,ndôg,ndog#,nd0go,nj)0bo,ndokso,ndogo,ndôg#,ndôg#,ndog#,ndogo,ndèg#,ndogo
iiller,16,16,160,16,16,néw,16,16,160,16,16,16,160,16
ilafon,künd#,kündx,,kündE,kündü,kündün,kündu,kündu,,kündt,,,,
Français :,,,,,,,,,,kündü,künd#,kündu,kündx,künd#
balai,ndèss,ndèss,ndisa,ndiss,ndiss,)jàko,ngisàä,£f-ngisa,ndèisa,ndiss,ndèss,ndisa,ndisa,ndèisa
balancer sur la tête,yér,yér,,,dèl,,,yér,yär,y$ér,,yér,yär,
balayer,Èitè,itè,ùtà,ùts,ùtè,dûu,ùt à,ùndà,tà,itè,,ùwà,ità,
balle de grain,t:s6,ngdy,,tèisé,tisé,tisà,,tisé,tèsé,,tigôn,tisé,tisä,
barbe,mbaÿ-tà,mbäy,mbaäaÿ,mbäy-tà,mbaÿ-tà,mbiyé,mbaÿ,mbäy,mba ÿ,mbâäy-tà,mbaÿ,mbayÿ,mbaÿ,
"bas, en bas",nàng£,,bèf,nàngé,nànñg,ngà,,nàäng£,bèf,bèé,nàng,bèf,nàng,
bassin; rein,dun,düun,,dûün,dün,kümär,dun,düun,dun,dun,dun,dun,dun,dün
"battre, frapper",indè,indè,ündà,èndè,ündè,,ùndà : Kul=if1,ùndà,ndà,indè,indè,ùndà,indà,indà
beau : être,bàsà,bàsà,bäsé,bàsé,bàsä,,küra : Kul=nàpà,mày-ngàw,,bàsà,bàsä,bàsà,bàlsäà,
"beau-frère, belle-soeur",s4)x,s4)#,sài,54j7,s4j#,säyo,s4j#,,sàj£,s4j#,s4)jr:NgT-s4j#,,séj#,
"beau-père, belle-mère",mèm,mèm,,mèm,üm,mäm,üûm,müm,,mèm,Üm,mèm,müm,
beaucoup; très,ng4y,bôrè,ngéy,ng4y,ngây,day,ngây,ya,ng4y,ya,ngây,ya,ng4y,ngéy
bégayer,nèdi,tad#,,,gagér,nügü,tèndi,,,badz,tà4dx,tèndi,tadr,
belle : être,màndi,màandi,mànd,màändi,mändi,kùya,màndi,màandi,,màandi,màndi : N9T=màandà,màndi,màandi,
belle-soeur,wär,wér : Do=wäd,,wâr,wâr,,wâr,ngo-wâr,,wâr,wâr,wâr,h6t,h$r
"benjamin, benjamine",,,,,"tà-mbà, dütuü : M=düté",,,,,dût,,,tà-rût#,
bière de mil,,,,,y1b+,,,kodo : Mh=y1b#,,y1b#,,,,
bière de mil,bi1bil,b£1bÈ],bil-bil,b£i-bÈl,bil-bil,bf1i-bili,bi1-bil,kodo,bi1-bil,,,bil-bil,bil-bil,kàsi-mbhûr
blanc : être,ndà,ndà,"ndà, è6",ndà,ndà,njàhà,ndà,ndà,ndàa,ndà,ndà,ndà,ndà,ndàhà
